order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD191506,2025-01-01T07:44:00,Mumbai,R0178,South Indian,1000,15,0
ORD155392,2025-01-01T08:00:00,Bangalore,R0367,Fast Food,902,13,0
ORD144597,2025-01-01T08:00:00,Chennai,R0433,Fast Food,1453,22,0
ORD136421,2025-01-01T08:04:00,Pune,R0484,Continental,1423,56,0
ORD120379,2025-01-01T08:04:00,Hyderabad,R0346,Biryani,575,40,0
ORD128221,2025-01-01T08:17:00,Pune,R0066,Biryani,1142,38,0
ORD144118,2025-01-01T09:03:00,Kolkata,R0441,Continental,806,48,0
ORD113396,2025-01-01T09:16:00,Chennai,R0577,Continental,467,24,0
ORD112156,2025-01-01T09:16:00,Pune,R0027,Biryani,215,26,0
ORD149797,2025-01-01T09:16:00,Hyderabad,R0550,North Indian,1574,82,0
ORD112676,2025-01-01T09:32:00,Mumbai,R0181,North Indian,660,14,0
ORD147052,2025-01-01T09:32:00,Chennai,R0349,North Indian,612,62,0
ORD145082,2025-01-01T10:14:00,Pune,R0495,North Indian,1412,80,0
ORD179131,2025-01-01T10:15:00,Delhi,R0286,Fast Food,596,53,0
ORD134671,2025-01-01T10:42:00,Mumbai,R0331,Continental,1209,32,0
ORD105695,2025-01-01T10:42:00,Bangalore,R0172,Continental,455,53,0
ORD195647,2025-01-01T11:45:00,Mumbai,R0265,South Indian,708,46,0
ORD160217,2025-01-01T11:48:00,Kolkata,R0092,Biryani,170,63,0
ORD170284,2025-01-01T11:48:00,Bangalore,R0231,Beverages,1297,45,1
ORD116361,2025-01-01T12:39:00,Delhi,R0437,Desserts,1374,37,0
ORD149615,2025-01-01T12:39:00,Delhi,R0111,Chinese,909,10,0
ORD110328,2025-01-01T12:49:00,Bangalore,R0290,Fast Food,969,29,0
ORD172357,2025-01-01T13:15:00,Kolkata,R0251,Chinese,1202,33,1
ORD138427,2025-01-01T13:15:00,Mumbai,R0493,Fast Food,132,88,0
ORD182397,2025-01-01T13:34:00,Pune,R0332,Chinese,273,26,1
ORD181070,2025-01-01T13:49:00,Pune,R0187,Italian,379,46,0
ORD147400,2025-01-01T13:56:00,Mumbai,R0303,Italian,330,26,0
ORD175674,2025-01-01T15:02:00,Chennai,R0507,Biryani,201,84,0
ORD125203,2025-01-01T15:02:00,Chennai,R0569,Italian,1558,40,1
ORD192349,2025-01-01T15:17:00,Mumbai,R0177,Fast Food,1473,19,0
ORD109116,2025-01-01T15:33:00,Chennai,R0225,North Indian,154,11,0
ORD106006,2025-01-01T16:14:00,Mumbai,R0310,North Indian,266,63,0
ORD186673,2025-01-01T16:14:00,Mumbai,R0042,Italian,365,64,0
ORD129871,2025-01-01T16:56:00,Kolkata,R0204,Continental,1161,34,0
ORD137930,2025-01-01T16:56:00,Delhi,R0620,Desserts,1390,20,0
ORD110458,2025-01-01T16:59:00,Delhi,R0175,Fast Food,952,19,0
ORD130512,2025-01-01T17:27:00,Hyderabad,R0223,North Indian,1018,90,0
ORD113238,2025-01-01T17:28:00,Hyderabad,R0275,South Indian,1029,70,1
ORD149823,2025-01-01T17:28:00,Delhi,R0083,Continental,1163,88,0
ORD136434,2025-01-01T17:28:00,Bangalore,R0258,Biryani,102,63,0
ORD159429,2025-01-01T17:37:00,Hyderabad,R0409,South Indian,762,86,0
ORD183320,2025-01-01T17:37:00,Delhi,R0561,Fast Food,599,74,1
ORD147819,2025-01-01T17:37:00,Delhi,R0718,Biryani,1216,40,0
ORD121319,2025-01-01T17:37:00,Mumbai,R0011,Chinese,477,70,1
ORD148520,2025-01-01T17:37:00,Kolkata,R0133,North Indian,915,86,1
ORD146566,2025-01-01T17:38:00,Delhi,R0050,Beverages,1013,63,0
ORD127460,2025-01-01T18:11:00,Bangalore,R0616,Biryani,1463,34,0
ORD187841,2025-01-01T18:11:00,Hyderabad,R0511,Chinese,592,75,0
ORD134993,2025-01-01T18:30:00,Bangalore,R0712,Italian,1499,86,0
ORD191988,2025-01-01T18:30:00,Bangalore,R0454,South Indian,167,37,0
ORD189593,2025-01-01T18:30:00,Chennai,R0715,Fast Food,1080,65,0
ORD184939,2025-01-01T18:30:00,Kolkata,R0046,Desserts,1229,47,1
ORD109358,2025-01-01T18:38:00,Mumbai,R0067,Fast Food,773,82,1
ORD179840,2025-01-01T18:41:00,Hyderabad,R0074,North Indian,1462,86,0
ORD183227,2025-01-01T19:13:00,Chennai,R0598,North Indian,475,37,0
ORD122431,2025-01-01T20:03:00,Mumbai,R0359,South Indian,1537,76,1
ORD170010,2025-01-01T20:03:00,Mumbai,R0427,Chinese,426,31,0
ORD195568,2025-01-01T20:07:00,Chennai,R0610,Fast Food,700,81,0
ORD132087,2025-01-01T20:07:00,Mumbai,R0682,Continental,980,83,0
ORD121417,2025-01-01T20:07:00,Mumbai,R0768,Fast Food,167,57,0
ORD160589,2025-01-01T20:07:00,Delhi,R0482,Chinese,1146,29,0
ORD149735,2025-01-01T20:12:00,Delhi,R0320,Continental,619,65,0
ORD135382,2025-01-01T20:12:00,Kolkata,R0649,Fast Food,1531,35,0
ORD183886,2025-01-01T20:23:00,Mumbai,R0757,North Indian,1099,38,0
ORD190198,2025-01-01T20:23:00,Hyderabad,R0525,Italian,1205,77,0
ORD173000,2025-01-01T20:23:00,Hyderabad,R0615,South Indian,316,19,0
ORD128785,2025-01-01T21:04:00,Hyderabad,R0688,Fast Food,1372,59,0
ORD189733,2025-01-01T21:04:00,Chennai,R0285,Fast Food,1572,26,0
ORD142504,2025-01-01T21:09:00,Mumbai,R0198,North Indian,1203,64,0
ORD107331,2025-01-01T21:22:00,Pune,R0534,Italian,867,67,1
ORD130021,2025-01-01T21:22:00,Chennai,R0206,Fast Food,698,88,0
ORD104207,2025-01-01T21:22:00,Bangalore,R0177,North Indian,1535,63,0
ORD141347,2025-01-01T21:25:00,Pune,R0056,Continental,301,13,0
ORD152581,2025-01-01T21:25:00,Chennai,R0182,Fast Food,580,10,0
ORD135093,2025-01-01T21:27:00,Mumbai,R0041,Continental,951,83,0
ORD108675,2025-01-01T21:27:00,Kolkata,R0032,Italian,525,53,0
ORD127653,2025-01-01T21:31:00,Kolkata,R0126,Biryani,1411,59,0
ORD174341,2025-01-01T22:17:00,Chennai,R0785,North Indian,522,24,1
ORD194098,2025-01-01T22:17:00,Kolkata,R0519,South Indian,1457,32,0
ORD141245,2025-01-01T22:17:00,Mumbai,R0594,Chinese,145,57,0
ORD127869,2025-01-01T22:37:00,Chennai,R0085,Fast Food,842,86,0
ORD185909,2025-01-01T22:55:00,Chennai,R0720,Fast Food,1111,75,0
ORD165435,2025-01-02T00:22:00,Delhi,R0063,Biryani,526,61,0
ORD151856,2025-01-02T01:05:00,Delhi,R0770,Fast Food,1149,31,0
ORD184259,2025-01-02T01:09:00,Hyderabad,R0286,Fast Food,598,45,0
ORD160142,2025-01-02T01:14:00,Hyderabad,R0655,South Indian,368,17,0
ORD118726,2025-01-02T01:32:00,Bangalore,R0749,Biryani,362,10,0
ORD134718,2025-01-02T01:32:00,Kolkata,R0520,Biryani,521,51,0
ORD118301,2025-01-02T01:32:00,Hyderabad,R0436,Biryani,1021,67,1
ORD132325,2025-01-02T01:32:00,Bangalore,R0484,Continental,294,49,0
ORD197647,2025-01-02T01:45:00,Bangalore,R0595,Biryani,1263,35,0
ORD173579,2025-01-02T01:45:00,Delhi,R0385,South Indian,855,52,0
ORD170644,2025-01-02T01:51:00,Chennai,R0051,Italian,837,85,1
ORD134438,2025-01-02T01:51:00,Bangalore,R0298,Continental,898,55,0
ORD197912,2025-01-02T02:01:00,Delhi,R0061,Chinese,173,79,0
ORD176622,2025-01-02T02:01:00,Delhi,R0319,Fast Food,381,10,0
ORD156155,2025-01-02T02:01:00,Mumbai,R0351,Fast Food,477,83,0
ORD176484,2025-01-02T02:12:00,Mumbai,R0297,Italian,352,49,0
ORD152350,2025-01-02T02:26:00,Bangalore,R0056,Italian,375,50,0
ORD147447,2025-01-02T02:26:00,Delhi,R0054,Continental,1583,27,0
ORD128746,2025-01-02T02:26:00,Chennai,R0416,South Indian,1369,21,0
ORD118131,2025-01-02T03:20:00,Mumbai,R0302,Fast Food,1360,49,0
ORD166784,2025-01-02T03:38:00,Hyderabad,R0010,Beverages,1039,65,0
ORD164686,2025-01-02T03:38:00,Delhi,R0090,Continental,730,49,0
ORD111915,2025-01-02T03:58:00,Delhi,R0370,Fast Food,134,41,0
ORD199061,2025-01-02T04:18:00,Delhi,R0111,Biryani,383,84,1
ORD106175,2025-01-02T05:02:00,Delhi,R0104,Fast Food,441,10,0
ORD114371,2025-01-02T05:12:00,Delhi,R0124,Biryani,720,34,0
ORD120033,2025-01-02T05:12:00,Pune,R0577,Italian,1011,73,0
ORD182240,2025-01-02T05:12:00,Delhi,R0653,Fast Food,176,74,1
ORD120969,2025-01-02T05:12:00,Bangalore,R0421,Italian,165,73,0
ORD189192,2025-01-02T05:15:00,Delhi,R0321,Beverages,674,82,0
ORD155333,2025-01-02T05:15:00,Bangalore,R0579,Biryani,1374,82,0
ORD178172,2025-01-02T05:15:00,Mumbai,R0317,Italian,1099,79,0
ORD108326,2025-01-02T05:15:00,Delhi,R0320,Biryani,1000,53,0
ORD150432,2025-01-02T05:45:00,Hyderabad,R0777,Continental,334,90,0
ORD150019,2025-01-02T05:45:00,Hyderabad,R0237,Biryani,765,47,0
ORD178104,2025-01-02T06:29:00,Mumbai,R0628,South Indian,1263,38,0
ORD161348,2025-01-02T06:32:00,Kolkata,R0082,Fast Food,1140,32,0
ORD169352,2025-01-02T06:50:00,Kolkata,R0659,Chinese,1277,22,0
ORD132953,2025-01-02T06:50:00,Pune,R0760,Italian,230,76,1
ORD172512,2025-01-02T06:50:00,Pune,R0012,Chinese,1342,61,0
ORD101504,2025-01-02T07:02:00,Chennai,R0173,Italian,1368,56,0
ORD189166,2025-01-02T07:26:00,Hyderabad,R0081,Fast Food,836,59,0
ORD194466,2025-01-02T07:26:00,Mumbai,R0524,Biryani,1091,41,0
ORD115014,2025-01-02T08:15:00,Delhi,R0643,Fast Food,947,47,0
ORD189353,2025-01-02T08:33:00,Kolkata,R0037,Fast Food,960,89,0
ORD170381,2025-01-02T08:56:00,Chennai,R0515,Fast Food,477,88,1
ORD198419,2025-01-02T08:58:00,Mumbai,R0149,Italian,1381,38,0
ORD134973,2025-01-02T08:58:00,Chennai,R0732,Fast Food,405,82,0
ORD184012,2025-01-02T08:58:00,Pune,R0229,South Indian,655,15,0
ORD144587,2025-01-02T09:07:00,Pune,R0017,North Indian,1015,42,0
ORD114621,2025-01-02T09:39:00,Chennai,R0376,Fast Food,650,44,1
ORD138469,2025-01-02T09:51:00,Bangalore,R0203,Italian,1544,86,0
ORD156985,2025-01-02T10:05:00,Mumbai,R0400,Italian,1368,33,1
ORD120730,2025-01-02T10:13:00,Hyderabad,R0072,Biryani,652,26,0
ORD159470,2025-01-02T10:13:00,Bangalore,R0518,Fast Food,361,35,0
ORD100425,2025-01-02T10:13:00,Bangalore,R0648,Italian,154,34,0
ORD194646,2025-01-02T10:13:00,Mumbai,R0395,Fast Food,1306,43,0
ORD194329,2025-01-02T10:24:00,Hyderabad,R0737,Biryani,1265,74,0
ORD134522,2025-01-02T10:24:00,Delhi,R0184,Chinese,752,47,0
ORD165612,2025-01-02T10:29:00,Hyderabad,R0327,Fast Food,364,32,0
ORD123416,2025-01-02T10:32:00,Chennai,R0737,North Indian,157,36,0
ORD166542,2025-01-02T10:32:00,Hyderabad,R0441,Fast Food,952,76,0
ORD113947,2025-01-02T10:32:00,Kolkata,R0153,Fast Food,1019,33,0
ORD181959,2025-01-02T10:34:00,Delhi,R0046,Italian,1451,51,1
ORD139117,2025-01-02T10:49:00,Delhi,R0010,Continental,213,48,1
ORD183748,2025-01-02T11:21:00,Delhi,R0070,Italian,694,33,1
ORD166540,2025-01-02T11:21:00,Mumbai,R0148,Fast Food,1182,69,0
ORD179818,2025-01-02T11:21:00,Bangalore,R0171,Italian,881,57,0
ORD126071,2025-01-02T11:59:00,Bangalore,R0025,Biryani,302,50,0
ORD120032,2025-01-02T11:59:00,Mumbai,R0663,Fast Food,332,55,1
ORD149009,2025-01-02T11:59:00,Hyderabad,R0309,Fast Food,1463,63,0
ORD121174,2025-01-02T11:59:00,Bangalore,R0343,North Indian,1485,31,0
ORD170697,2025-01-02T12:10:00,Chennai,R0047,North Indian,1000,65,0
ORD169514,2025-01-02T12:22:00,Mumbai,R0309,Italian,695,80,0
ORD100074,2025-01-02T12:43:00,Chennai,R0132,Desserts,1418,15,0
ORD178504,2025-01-02T12:43:00,Hyderabad,R0162,Chinese,1375,69,0
ORD142487,2025-01-02T12:43:00,Bangalore,R0352,North Indian,416,26,0
ORD164042,2025-01-02T13:12:00,Pune,R0303,Continental,938,86,0
ORD102552,2025-01-02T13:12:00,Hyderabad,R0239,Continental,1377,66,0
ORD114662,2025-01-02T13:15:00,Hyderabad,R0664,Continental,895,20,0
ORD147576,2025-01-02T13:15:00,Chennai,R0672,Chinese,1521,63,0
ORD140306,2025-01-02T13:28:00,Delhi,R0020,Beverages,463,14,0
ORD131385,2025-01-02T13:52:00,Kolkata,R0724,Italian,531,34,0
ORD107592,2025-01-02T14:08:00,Delhi,R0549,Fast Food,1538,26,1
ORD131571,2025-01-02T14:08:00,Bangalore,R0051,Chinese,467,44,0
ORD174364,2025-01-02T14:26:00,Mumbai,R0333,South Indian,1112,21,0
ORD110322,2025-01-02T14:47:00,Bangalore,R0362,Italian,839,45,0
ORD111226,2025-01-02T14:55:00,Chennai,R0164,Chinese,1172,55,0
ORD195932,2025-01-02T15:05:00,Chennai,R0722,Fast Food,1540,36,0
ORD163699,2025-01-02T15:05:00,Delhi,R0437,Italian,1377,48,1
ORD109071,2025-01-02T15:05:00,Chennai,R0516,Biryani,1011,37,0
ORD199693,2025-01-02T15:05:00,Mumbai,R0245,Chinese,402,80,0
ORD169822,2025-01-02T15:29:00,Chennai,R0732,Beverages,298,27,0
ORD116483,2025-01-02T16:13:00,Bangalore,R0481,Continental,1266,12,0
ORD116828,2025-01-02T16:13:00,Hyderabad,R0242,Continental,897,11,0
ORD186474,2025-01-02T16:13:00,Pune,R0424,Continental,977,44,0
ORD162296,2025-01-02T16:46:00,Kolkata,R0517,Italian,247,53,0
ORD172063,2025-01-02T17:09:00,Mumbai,R0398,Fast Food,342,34,1
ORD121643,2025-01-02T17:09:00,Pune,R0626,North Indian,710,15,0
ORD134741,2025-01-02T17:19:00,Hyderabad,R0046,Italian,381,83,0
ORD169163,2025-01-02T17:19:00,Pune,R0617,Continental,569,76,0
ORD179507,2025-01-02T17:19:00,Delhi,R0540,Chinese,1396,78,0
ORD155461,2025-01-02T17:36:00,Mumbai,R0472,Italian,1362,13,0
ORD127760,2025-01-02T18:04:00,Kolkata,R0779,Fast Food,623,40,0
ORD170686,2025-01-02T18:28:00,Delhi,R0119,Italian,1391,66,0
ORD198994,2025-01-02T18:28:00,Delhi,R0760,South Indian,818,28,0
ORD195673,2025-01-02T18:28:00,Delhi,R0401,Fast Food,1279,41,0
ORD190422,2025-01-02T18:32:00,Pune,R0435,North Indian,132,50,0
ORD126365,2025-01-02T18:39:00,Mumbai,R0531,Fast Food,1280,36,0
ORD193447,2025-01-02T18:39:00,Chennai,R0137,Fast Food,1344,36,0
ORD140857,2025-01-02T18:39:00,Delhi,R0411,North Indian,909,81,0
ORD152296,2025-01-02T19:49:00,Pune,R0506,Chinese,177,59,0
ORD188039,2025-01-02T19:49:00,Bangalore,R0717,South Indian,203,90,0
ORD185180,2025-01-02T19:49:00,Mumbai,R0602,Biryani,1003,89,0
ORD148944,2025-01-02T19:49:00,Hyderabad,R0544,South Indian,147,76,0
ORD157422,2025-01-02T20:04:00,Mumbai,R0093,Fast Food,1201,77,0
ORD167839,2025-01-02T20:04:00,Kolkata,R0469,Biryani,1117,78,1
ORD159177,2025-01-02T20:08:00,Mumbai,R0550,Chinese,1115,15,0
ORD115860,2025-01-02T20:38:00,Chennai,R0371,Continental,112,84,1
ORD132493,2025-01-02T20:38:00,Chennai,R0041,Biryani,1115,27,0
ORD129451,2025-01-02T21:04:00,Mumbai,R0194,Fast Food,1094,43,0
ORD108392,2025-01-02T21:04:00,Mumbai,R0436,Italian,1105,46,0
ORD144313,2025-01-02T21:05:00,Delhi,R0342,South Indian,545,30,0
ORD102757,2025-01-02T21:26:00,Pune,R0183,Continental,632,47,0
ORD177110,2025-01-02T21:26:00,Mumbai,R0541,Italian,1440,84,0
ORD172603,2025-01-02T21:26:00,Pune,R0550,Italian,1159,36,0
ORD130161,2025-01-02T21:31:00,Hyderabad,R0728,Biryani,1328,31,1
ORD177128,2025-01-02T22:09:00,Bangalore,R0270,Fast Food,1359,40,0
ORD128864,2025-01-02T22:09:00,Pune,R0172,North Indian,802,64,0
ORD100942,2025-01-02T22:09:00,Mumbai,R0228,Fast Food,440,59,0
ORD109305,2025-01-02T22:09:00,Kolkata,R0681,North Indian,807,87,0
ORD192778,2025-01-02T22:11:00,Mumbai,R0003,Biryani,1015,50,0
ORD182719,2025-01-02T22:37:00,Bangalore,R0790,Fast Food,747,13,0
ORD107716,2025-01-02T22:38:00,Delhi,R0695,South Indian,796,37,0
ORD130007,2025-01-02T22:38:00,Chennai,R0367,Continental,1300,67,1
ORD108834,2025-01-02T22:38:00,Hyderabad,R0128,Fast Food,616,63,1
ORD104117,2025-01-02T23:05:00,Hyderabad,R0503,Chinese,492,69,0
ORD143309,2025-01-02T23:05:00,Bangalore,R0224,South Indian,1307,52,0
ORD109287,2025-01-02T23:26:00,Bangalore,R0577,Fast Food,811,21,1
ORD167391,2025-01-02T23:26:00,Delhi,R0413,Italian,186,48,0
ORD131195,2025-01-02T23:30:00,Chennai,R0063,Chinese,728,43,0
ORD136500,2025-01-02T23:30:00,Mumbai,R0302,Fast Food,730,24,0
ORD187684,2025-01-02T23:40:00,Mumbai,R0741,South Indian,1438,58,0
ORD163624,2025-01-02T23:40:00,Mumbai,R0604,South Indian,891,25,0
ORD128080,2025-01-03T00:04:00,Bangalore,R0602,Biryani,651,65,0
ORD170678,2025-01-03T00:04:00,Bangalore,R0523,Beverages,761,20,1
ORD117342,2025-01-03T00:11:00,Delhi,R0067,Continental,647,76,0
ORD194811,2025-01-03T00:32:00,Delhi,R0640,Biryani,947,17,0
ORD174847,2025-01-03T00:32:00,Hyderabad,R0161,Italian,330,45,0
ORD175525,2025-01-03T00:32:00,Chennai,R0235,Fast Food,920,33,0
ORD161953,2025-01-03T00:32:00,Bangalore,R0557,South Indian,102,50,0
ORD131850,2025-01-03T00:52:00,Mumbai,R0311,Biryani,1124,87,0
ORD161993,2025-01-03T01:06:00,Delhi,R0687,Continental,100,75,1
ORD153354,2025-01-03T01:06:00,Pune,R0172,Chinese,1050,37,0
ORD124957,2025-01-03T01:38:00,Chennai,R0283,Biryani,1044,59,0
ORD112363,2025-01-03T01:38:00,Delhi,R0406,Fast Food,1501,22,0
ORD112704,2025-01-03T01:59:00,Kolkata,R0315,Italian,152,35,1
ORD186374,2025-01-03T01:59:00,Kolkata,R0714,Desserts,358,43,0
ORD156498,2025-01-03T02:03:00,Mumbai,R0297,Italian,284,81,0
ORD146438,2025-01-03T02:03:00,Pune,R0193,Fast Food,245,79,0
ORD155519,2025-01-03T02:03:00,Hyderabad,R0014,North Indian,169,88,0
ORD153883,2025-01-03T02:18:00,Delhi,R0706,South Indian,1165,52,0
ORD161213,2025-01-03T02:18:00,Delhi,R0527,Italian,1349,37,0
ORD195561,2025-01-03T02:55:00,Delhi,R0254,South Indian,1368,26,0
ORD107100,2025-01-03T02:55:00,Chennai,R0602,Fast Food,894,25,0
ORD188259,2025-01-03T03:05:00,Delhi,R0784,Chinese,1200,34,0
ORD185649,2025-01-03T03:47:00,Hyderabad,R0286,Continental,583,46,1
ORD184696,2025-01-03T04:07:00,Mumbai,R0354,North Indian,1261,19,0
ORD112899,2025-01-03T04:14:00,Mumbai,R0306,North Indian,396,88,0
ORD107944,2025-01-03T04:14:00,Mumbai,R0234,Fast Food,1506,64,1
ORD152772,2025-01-03T04:14:00,Kolkata,R0291,Biryani,878,61,0
ORD195448,2025-01-03T04:14:00,Bangalore,R0354,Desserts,806,79,0
ORD144473,2025-01-03T04:29:00,Kolkata,R0051,Italian,1472,72,0
ORD114322,2025-01-03T04:31:00,Bangalore,R0393,North Indian,398,83,0
ORD132591,2025-01-03T04:47:00,Delhi,R0002,South Indian,1412,68,0
ORD125112,2025-01-03T04:50:00,Kolkata,R0587,Continental,343,34,0
ORD124931,2025-01-03T04:58:00,Bangalore,R0317,North Indian,100,81,0
ORD170292,2025-01-03T04:58:00,Mumbai,R0468,Desserts,1338,53,0
ORD158800,2025-01-03T05:12:00,Mumbai,R0161,North Indian,359,72,0
ORD118373,2025-01-03T05:20:00,Mumbai,R0763,North Indian,1070,83,0
ORD155296,2025-01-03T05:35:00,Kolkata,R0580,Fast Food,663,47,1
ORD124050,2025-01-03T05:35:00,Delhi,R0666,Fast Food,1049,12,0
ORD136509,2025-01-03T05:58:00,Chennai,R0112,North Indian,732,40,0
ORD160637,2025-01-03T05:59:00,Bangalore,R0620,Chinese,115,49,0
ORD132742,2025-01-03T06:02:00,Mumbai,R0174,South Indian,125,32,0
ORD109880,2025-01-03T06:11:00,Delhi,R0186,Biryani,1300,60,1
ORD158082,2025-01-03T06:11:00,Pune,R0243,Beverages,1095,41,0
ORD172132,2025-01-03T06:11:00,Bangalore,R0263,Biryani,700,85,1
ORD112833,2025-01-03T06:35:00,Mumbai,R0003,Biryani,1473,78,0
ORD106630,2025-01-03T06:35:00,Kolkata,R0485,Fast Food,315,27,1
ORD185477,2025-01-03T07:35:00,Bangalore,R0316,North Indian,189,66,0
ORD170855,2025-01-03T07:38:00,Kolkata,R0483,Italian,1427,66,0
ORD101934,2025-01-03T07:38:00,Kolkata,R0672,North Indian,368,42,0
ORD112224,2025-01-03T07:38:00,Bangalore,R0148,Desserts,465,12,0
ORD198771,2025-01-03T07:42:00,Bangalore,R0070,Continental,274,55,0
ORD130982,2025-01-03T07:42:00,Mumbai,R0736,South Indian,1472,17,1
ORD121798,2025-01-03T07:59:00,Mumbai,R0478,Fast Food,481,32,0
ORD153269,2025-01-03T07:59:00,Pune,R0546,North Indian,174,12,0
ORD163653,2025-01-03T08:02:00,Delhi,R0218,North Indian,178,17,0
ORD163092,2025-01-03T08:04:00,Hyderabad,R0228,Biryani,868,69,0
ORD128016,2025-01-03T08:05:00,Mumbai,R0424,South Indian,1138,20,0
ORD152565,2025-01-03T08:05:00,Delhi,R0592,South Indian,422,80,0
ORD107685,2025-01-03T08:05:00,Delhi,R0247,Fast Food,1537,54,1
ORD121579,2025-01-03T08:20:00,Chennai,R0694,Fast Food,201,16,0
ORD149672,2025-01-03T08:38:00,Bangalore,R0033,Fast Food,378,74,0
ORD100282,2025-01-03T08:45:00,Bangalore,R0695,Fast Food,108,86,0
ORD151173,2025-01-03T08:50:00,Mumbai,R0612,South Indian,1154,37,0
ORD134760,2025-01-03T08:50:00,Mumbai,R0549,North Indian,1475,38,0
ORD159638,2025-01-03T09:06:00,Chennai,R0675,Continental,172,37,0
ORD137388,2025-01-03T09:06:00,Chennai,R0377,Italian,1225,29,1
ORD155444,2025-01-03T09:08:00,Mumbai,R0426,Chinese,626,55,0
ORD191303,2025-01-03T09:38:00,Bangalore,R0437,South Indian,824,67,0
ORD195748,2025-01-03T09:38:00,Hyderabad,R0752,Biryani,695,27,0
ORD172845,2025-01-03T09:51:00,Bangalore,R0312,Italian,1471,19,0
ORD186752,2025-01-03T09:57:00,Chennai,R0195,Fast Food,686,60,0
ORD194163,2025-01-03T10:09:00,Delhi,R0523,Continental,460,85,0
ORD163788,2025-01-03T10:28:00,Delhi,R0178,South Indian,922,48,0
ORD120289,2025-01-03T10:28:00,Mumbai,R0525,Continental,382,33,0
ORD124890,2025-01-03T10:28:00,Pune,R0691,Biryani,342,90,0
ORD138890,2025-01-03T10:33:00,Delhi,R0737,South Indian,481,63,0
ORD128534,2025-01-03T10:33:00,Delhi,R0414,Biryani,1213,78,0
ORD107665,2025-01-03T10:51:00,Delhi,R0374,South Indian,352,22,1
ORD175914,2025-01-03T10:51:00,Chennai,R0023,Italian,1483,61,0
ORD196434,2025-01-03T10:51:00,Kolkata,R0489,Italian,687,41,0
ORD171066,2025-01-03T11:27:00,Bangalore,R0147,North Indian,266,31,0
ORD107989,2025-01-03T12:44:00,Delhi,R0489,Fast Food,434,53,0
ORD198038,2025-01-03T12:44:00,Mumbai,R0233,Biryani,1428,33,0
ORD141104,2025-01-03T12:44:00,Mumbai,R0434,North Indian,223,13,0
